fecha de inicio :	2022-02-17
hora de inicio :	13:52:44,76288
tasa de muestreo :	100 Hz
	
tiempo desde inicio (s)	voltaje (V)
5,51251	0,27832
5,52255	0,28320
5,53259	0,28320
5,54263	0,27832
5,55268	0,27832
5,56272	0,28320
5,57276	0,27832
5,58280	0,27832
5,59284	0,27832
5,60288	0,28320
5,61292	0,27832
5,62296	0,28320
5,63300	0,28320
5,64304	0,27832
5,65309	0,28809
5,66313	0,28320
5,67317	0,28320
5,68321	0,28320
5,69325	0,27344
5,70329	0,28320
5,71333	0,28320
5,72337	0,27832
5,73341	0,28320
5,74345	0,28320
5,75350	0,28320
5,76354	0,27344
5,77358	0,28320
5,78362	0,28320
5,79366	0,28320
5,80370	0,27832
5,81374	0,28320
5,82378	0,27832
5,83382	0,28320
5,84386	0,27832
5,85391	0,28320
5,86395	0,28320
5,87399	0,27832
5,88403	0,28320
5,89407	0,28320
5,90411	0,28320
5,91415	0,28809
5,92419	0,27832
5,93423	0,27832
5,94427	0,28320
5,95432	0,27832
5,96436	0,28320
5,97440	0,27832
5,98444	0,29297
5,99448	0,28320
6,00452	0,28320
6,01456	0,28320
6,02460	0,28320
6,03464	0,28320
6,04468	0,28320
6,05473	0,28320
6,06477	0,27832
6,07481	0,29297
6,08485	0,27832
6,09489	0,28320
6,10493	0,27832
6,11497	0,27832
6,12501	0,28320
6,13505	0,27832
6,14509	0,28320
6,15514	0,28320
6,16518	0,28320
6,17522	0,28320
6,18526	0,27344
6,19530	0,28320
6,20534	0,27832
6,21538	0,28320
6,22542	0,27832
6,23546	0,27832
6,24550	0,27832
6,25555	0,27832
6,26559	0,28320
6,27563	0,28320
6,28567	0,27344
6,29571	0,28320
6,30575	0,27832
6,31579	0,27832
6,32583	0,28320
6,33587	0,28320
6,34591	0,28320
6,35596	0,27832
6,36600	0,27832
6,37604	0,27832
6,38608	0,27832
6,39612	0,28320
6,40616	0,27832
6,41620	0,28320
6,42624	0,28320
6,43628	0,27832
6,44632	0,26855
6,45637	0,28809
6,46641	0,27832
6,47645	0,28320
6,48649	0,28320
6,49653	0,28320
6,50657	0,28320
6,51661	0,27832
6,52665	0,27832
6,53669	0,28320
6,54673	0,28320
6,55678	0,28320
6,56682	0,27832
6,57686	0,28809
6,58690	0,28320
6,59694	0,27832
6,60698	0,28320
6,61702	0,27832
6,62706	0,27832
6,63710	0,28320
6,64714	0,28320
6,65719	0,28809
6,66723	0,27832
6,67727	0,27832
6,68731	0,28809
6,69735	0,28320
6,70739	0,28320
6,71743	0,28320
6,72747	0,28320
6,73751	0,28320
6,74755	0,27832
6,75760	0,28320
6,76764	0,28320
6,77768	0,28320
6,78772	0,28320
6,79776	0,28320
6,80780	0,27832
6,81784	0,28320
6,82788	0,28320
6,83792	0,27832
6,84796	0,27832
6,85801	0,28320
6,86805	0,27832
6,87809	0,27344
6,88813	0,28809
6,89817	0,28320
6,90821	0,28320
6,91825	0,27832
6,92829	0,27832
6,93833	0,28809
6,94837	0,27832
6,95842	0,28320
6,96846	0,28320
6,97850	0,27832
6,98854	0,28320
6,99858	0,28320
7,00862	0,27832
7,01866	0,28320
7,02870	0,28320
7,03874	0,28809
7,04878	0,28320
7,05883	0,27832
7,06887	0,28320
7,07891	0,27832
7,08895	0,28320
7,09899	0,27832
7,10903	0,27832
7,11907	0,28320
7,12911	0,27344
7,13915	0,28320
7,14919	0,28320
7,15924	0,28320
7,16928	0,28809
7,17932	0,27832
7,18936	0,27832
7,19940	0,28320
7,20944	0,27832
7,21948	0,28320
7,22952	0,28320
7,23956	0,28320
7,24960	0,28809
7,25965	0,27832
7,26969	0,27832
7,27973	0,28320
7,28977	0,27832
7,29981	0,28320
7,30985	0,29297
7,31989	0,28320
7,32993	0,27832
7,33997	0,27832
7,35001	0,28320
7,36006	0,28320
7,37010	0,27832
7,38014	0,27832
7,39018	0,27832
7,40022	0,28320
7,41026	0,28320
7,42030	0,28320
7,43034	0,28320
7,44038	0,27832
7,45042	0,28320
7,46047	0,28809
7,47051	0,27832
7,48055	0,28320
7,49059	0,27832
7,50063	0,28320
7,51067	0,28809
7,52071	0,27832
7,53075	0,28320
7,54079	0,28320
7,55084	0,28320
7,56088	0,28320
7,57092	0,27832
7,58096	0,28320
7,59100	0,28320
7,60104	0,28320
7,61108	0,28809
7,62112	0,27832
7,63116	0,27832
7,64120	0,28320
7,65125	0,27832
7,66129	0,28320
7,67133	0,28809
7,68137	0,29297
7,69141	0,28320
7,70145	0,28320
7,71149	0,27832
7,72153	0,26855
7,73157	0,27832
7,74161	0,28320
7,75166	0,28320
7,76170	0,28320
7,77174	0,28320
7,78178	0,28320
7,79182	0,28320
7,80186	0,27832
7,81190	0,27832
7,82194	0,27832
7,83198	0,27832
7,84202	0,27832
7,85207	0,26855
7,86211	0,29297
7,87215	0,28320
7,88219	0,27832
7,89223	0,28809
7,90227	0,27832
7,91231	0,28320
7,92235	0,28320
7,93239	0,27832
7,94243	0,28320
7,95248	0,27832
7,96252	0,28320
7,97256	0,27832
7,98260	0,27832
7,99264	0,28320
8,00268	0,27832
8,01272	0,28320
8,02276	0,27832
8,03280	0,26855
8,04284	0,28809
8,05289	0,28320
8,06293	0,28320
8,07297	0,27832
8,08301	0,27832
8,09305	0,27832
8,10309	0,27832
8,11313	0,27832
8,12317	0,28320
8,13321	0,28320
8,14325	0,28320
8,15330	0,27832
8,16334	0,27832
8,17338	0,28320
8,18342	0,28320
8,19346	0,27832
8,20350	0,28320
8,21354	0,27832
8,22358	0,28320
8,23362	0,27832
8,24366	0,27832
8,25371	0,28320
8,26375	0,27344
8,27379	0,26855
8,28383	0,27832
8,29387	0,27832
8,30391	0,27832
8,31395	0,27832
8,32399	0,28320
8,33403	0,28320
8,34407	0,27832
8,35412	0,28320
8,36416	0,27832
8,37420	0,28320
8,38424	0,27832
8,39428	0,27832
8,40432	0,28320
8,41436	0,28320
